REFERENCE,"PRODUCT NAME",EAN,"MAIN PICTURE",CATEGORIES,"BASE PRICE","MAX PRICE",WEIGHT,IMAGES,FEATURES,"ATTRIBUTES TO CHOOSE",DESCRIPTION
290017B,"290017B: Gearbox mount – rear bush",5902553535235,https://www.strongflex.eu/img/p/1/7/1/7/5/17175.jpg,"De Tomaso > Pantera (71-91)",13.01,13.01,0.237,https://www.strongflex.eu/img/p/1/7/1/7/4/17174.jpg,"Pcs / prod: 1|Required/car: 2",,"<p><strong>Reference:</strong> 290017B</p> <p><strong>Product name:</strong> Gearbox mount – rear bush SPORT</p> <p><strong>Fits to:</strong></p> <ul> <li>De Tomaso Pantera (71-91)</li> </ul> <p><strong>OEM</strong></p> <ul> <li>06046A</li> </ul> <p><strong>Diagrams:</strong></p> <ul> <li>S2902</li> </ul> <p class=""note-title""><strong style=""color:#ff0000;"">Notes</strong></p> <ul> <li style=""color:#ff0000;"">Bush works only with mount shown in photo S2902</li> </ul> <p>Required/car: 2</p> <p>Pcs / prod: 1</p> <p>Hardness: 80Sha</p> <p>Material: POLIURETHANE (PUR/PU)</p> <p>To every product we add grease!</p>"
290017A,"290017A: Gearbox mount – rear bush SPORT",5902553535228,https://www.strongflex.eu/img/p/1/7/1/7/1/17171.jpg,"De Tomaso > Pantera (71-91)",14.63,14.63,0.237,https://www.strongflex.eu/img/p/1/7/1/7/2/17172.jpg,"Pcs / prod: 1|Required/car: 2",,"<p><strong>Reference:</strong> 290017A</p> <p><strong>Product name:</strong> Gearbox mount – rear bush SPORT</p> <p><strong>Fits to:</strong></p> <ul> <li>De Tomaso Pantera (71-91)</li> </ul> <p><strong>OEM</strong></p> <ul> <li>06046A</li> </ul> <p><strong>Diagrams:</strong></p> <ul> <li>S2902</li> </ul> <p class=""note-title""><strong style=""color:#ff0000;"">Notes</strong></p> <ul> <li style=""color:#ff0000;"">Bush works only with mount shown in photo S2902</li> </ul> <p>Required/car: 2</p> <p>Pcs / prod: 1</p> <p>Hardness: 90Sha</p> <p>Material: POLIURETHANE (PUR/PU)</p> <p>To every product we add grease!</p>"
290016B,"290016B: Engine mount – front bush",5902553535211,https://www.strongflex.eu/img/p/1/7/1/7/0/17170.jpg,"De Tomaso > Pantera (71-91)",17.89,17.89,0.51,https://www.strongflex.eu/img/p/1/7/1/6/9/17169.jpg,"Pcs / prod: 1|Required/car: 2",,"<p><strong>Reference:</strong> 290016B</p> <p><strong>Product name:</strong> Engine mount – front bush</p> <p><strong>Fits to:</strong></p> <ul> <li>De Tomaso Pantera (71-91)</li> </ul> <p><strong>OEM</strong></p> <ul> <li>08202A</li> </ul> <p><strong>Diagrams:</strong></p> <ul> <li>S2901</li> </ul> <p class=""note-title""><strong style=""color:#ff0000;"">Notes</strong></p> <ul> <li style=""color:#ff0000;"">Bush works only with mount shown in photo S2901</li> </ul> <p>Required/car: 2</p> <p>Pcs / prod: 1</p> <p>Hardness: 80Sha</p> <p>Material: POLIURETHANE (PUR/PU)</p> <p>To every product we add grease!</p>"
290016A,"290016A: Engine mount – front bush SPORT",5902553535204,https://www.strongflex.eu/img/p/1/7/1/6/6/17166.jpg,"De Tomaso > Pantera (71-91)",20.33,20.33,0.51,https://www.strongflex.eu/img/p/1/7/1/6/7/17167.jpg,"Pcs / prod: 1|Required/car: 2",,"<p><strong>Reference:</strong> 290016A</p> <p><strong>Product name:</strong> Engine mount – front bush SPORT</p> <p><strong>Fits to:</strong></p> <ul> <li>De Tomaso Pantera (71-91)</li> </ul> <p><strong>OEM</strong></p> <ul> <li>08202A</li> </ul> <p><strong>Diagrams:</strong></p> <ul> <li>S2901</li> </ul> <p class=""note-title""><strong style=""color:#ff0000;"">Notes</strong></p> <ul> <li style=""color:#ff0000;"">Bush works only with mount shown in photo S2901</li> </ul> <p>Required/car: 2</p> <p>Pcs / prod: 1</p> <p>Hardness: 90Sha</p> <p>Material: POLIURETHANE (PUR/PU)</p> <p>To every product we add grease!</p>"
221762B,"221762B: Rear subframe bush",5902553535136,https://www.strongflex.eu/img/p/1/7/1/4/6/17146.jpg,"Audi > A6 > C5 > C5 (97-04) Quattro & Allroad|Volkswagen > Passat > Passat B5 > Passat B5 4motion (96-05)",26.83,26.83,0.681,https://www.strongflex.eu/img/p/1/7/1/4/4/17144.jpg|https://www.strongflex.eu/img/p/1/7/1/4/5/17145.jpg,"Pcs / prod: 1|Required/car: 4",,"<p><strong>Reference:</strong> 221762B</p> <p><strong>Product name:</strong> Rear subframe bush</p> <p><strong>Fits to:</strong></p> <ul> <li>Audi A6 C5 (97-04) Quattro &amp; Allroad</li> <li>Volkswagen Passat B5 4motion (96-05)</li> </ul> <p><strong>OEM</strong></p> <ul> <li>8E0505145C</li> <li>8E0505145F</li> <li>8E0505145L</li> <li>8E0505145M</li> <li>8E0505145N</li> <li>4Z7505145</li> </ul> <p><strong>Diagrams:</strong></p> <ul> <li>D2215</li> <li>S0206</li> </ul> <p>Required/car: 4</p> <p>Pcs / prod: 1</p> <p>Hardness: 80Sha</p> <p>Material: POLIURETHANE (PUR/PU)</p> <p>To every product we add grease!</p>"
221762A,"221762A: Rear subframe bush SPORT",5902553535129,https://www.strongflex.eu/img/p/1/7/1/4/0/17140.jpg,"Audi > A6 > C5 > C5 (97-04) Quattro & Allroad|Volkswagen > Passat > Passat B5 > Passat B5 4motion (96-05)",29.27,29.27,0.681,https://www.strongflex.eu/img/p/1/7/1/4/1/17141.jpg|https://www.strongflex.eu/img/p/1/7/1/4/2/17142.jpg,"Pcs / prod: 1|Required/car: 4",,"<p><strong>Reference:</strong> 221762A</p> <p><strong>Product name:</strong> Rear subframe bush SPORT</p> <p><strong>Fits to:</strong></p> <ul> <li>Audi A6 C5 (97-04) Quattro &amp; Allroad</li> <li>Volkswagen Passat B5 4motion (96-05)</li> </ul> <p><strong>OEM</strong></p> <ul> <li>8E0505145C</li> <li>8E0505145F</li> <li>8E0505145L</li> <li>8E0505145M</li> <li>8E0505145N</li> <li>4Z7505145</li> </ul> <p><strong>Diagrams:</strong></p> <ul> <li>D2215</li> <li>S0206</li> </ul> <p>Required/car: 4</p> <p>Pcs / prod: 1</p> <p>Hardness: 90Sha</p> <p>Material: POLIURETHANE (PUR/PU)</p> <p>To every product we add grease!</p>"
281211B,"281211B: Steering rack bush",5902553535105,https://www.strongflex.eu/img/p/1/7/1/3/4/17134.jpg,"Nissan > Micra / March > K11 (92-02)",8.94,8.94,0.048,https://www.strongflex.eu/img/p/1/7/1/3/3/17133.jpg,"Pcs / prod: 1|Required/car: 1",,"<p><strong>Reference:</strong> 281211B</p> <p><strong>Product name:</strong> Steering rack bush</p> <p><strong>Fits to:</strong></p> <ul> <li>Nissan Micra K11 (92-02)</li> </ul> <p><strong>OEM</strong></p> <ul> <li>48376-4F100</li> <li>48376-4F111</li> </ul> <p><strong>Diagrams</strong></p> <ul> <li>D2831</li> </ul> <p>Required/car: 1</p> <p>Pcs / prod: 1</p> <p>Hardness: 80Sha</p> <p>Material: POLIURETHANE (PUR/PU)</p> <p>To every product we add grease!</p>"
281211A,"281211A: Steering rack bush SPORT",5902553535099,https://www.strongflex.eu/img/p/1/7/1/3/1/17131.jpg,"Nissan > Micra / March > K11 (92-02)",9.76,9.76,0.048,https://www.strongflex.eu/img/p/1/7/1/3/2/17132.jpg,"Pcs / prod: 1|Required/car: 1",,"<p><strong>Reference:</strong> 281211A</p> <p><strong>Product name:</strong> Steering rack bush SPORT</p> <p><strong>Fits to:</strong></p> <ul> <li>Nissan Micra K11 (92-02)</li> </ul> <p><strong>OEM</strong></p> <ul> <li>48376-4F100</li> <li>48376-4F111</li> </ul> <p><strong>Diagrams</strong></p> <ul> <li>D2831</li> </ul> <p>Required/car: 1</p> <p>Pcs / prod: 1</p> <p>Hardness: 90Sha</p> <p>Material: POLIURETHANE (PUR/PU)</p> <p>To every product we add grease!</p>"
281210B,"281210B: Steering rack bush",5902553535082,https://www.strongflex.eu/img/p/1/7/1/3/0/17130.jpg,"Nissan > Micra / March > K11 (92-02)",8.94,8.94,0.044,https://www.strongflex.eu/img/p/1/7/1/2/9/17129.jpg,"Pcs / prod: 1|Required/car: 1",,"<p><strong>Reference:</strong> 281210B</p> <p><strong>Product name:</strong> Steering rack bush</p> <p><strong>Fits to:</strong></p> <ul> <li>Nissan Micra K11 (92-02)</li> </ul> <p><strong>OEM</strong></p> <ul> <li>48377-4F100</li> <li>48377-4F111</li> </ul> <p><strong>Diagrams</strong></p> <ul> <li>D2831</li> </ul> <p>Required/car: 1</p> <p>Pcs / prod: 1</p> <p>Hardness: 80Sha</p> <p>Material: POLIURETHANE (PUR/PU)</p> <p>To every product we add grease!</p>"
281210A,"281210A: Steering rack bush SPORT",5902553535075,https://www.strongflex.eu/img/p/1/7/1/2/8/17128.jpg,"Nissan > Micra / March > K11 (92-02)",9.76,9.76,0.044,https://www.strongflex.eu/img/p/1/7/1/2/6/17126.jpg,"Pcs / prod: 1|Required/car: 1",,"<p><strong>Reference:</strong> 281210A</p> <p><strong>Product name:</strong> Steering rack bush SPORT</p> <p><strong>Fits to:</strong></p> <ul> <li>Nissan Micra K11 (92-02)</li> </ul> <p><strong>OEM</strong></p> <ul> <li>48377-4F100</li> <li>48377-4F111</li> </ul> <p><strong>Diagrams</strong></p> <ul> <li>D2831</li> </ul> <p>Required/car: 1</p> <p>Pcs / prod: 1</p> <p>Hardness: 90Sha</p> <p>Material: POLIURETHANE (PUR/PU)</p> <p>To every product we add grease!</p>"
